reference,prediction,correct,wer,f1
"Hello, how are you today?","Hello, how are you today?",True,0.0,1.0
The weather is nice outside.,The weather is nice outside.,True,0.0,1.0
I need to go to the store.,I need to go to the store.,True,0.0,1.0
What time is the meeting?,What time um is the meeting?,False,0.2,0.9090909090909091
Thank you for your help.,Thank you um for um your help.,False,0.4,0.9090909090909091
Please call me tomorrow.,Please me tomorrow.,False,0.25,0.8571428571428571
The project is almost complete.,The was is almost complete.,False,0.2,0.8000000000000002
Can you send me the report?,Can you send me the report?,True,0.0,1.0
I will be there at five o'clock.,I will be there um at five that,False,0.2857142857142857,0.7999999999999999
Have a great day!,Have a um great,False,0.5,0.75
The conference call starts at noon.,The conference call starts at noon.,True,0.0,1.0
We need to discuss the budget.,We need to um discuss the budget.,False,0.16666666666666666,0.923076923076923
The deadline is next Friday.,The deadline next Friday.,False,0.2,0.888888888888889
Can you review this document?,Can you um review this document?,False,0.2,0.9090909090909091
I'll send you the updated version.,I'll send you the updated version.,True,0.0,1.0
